k,accuracy
1216,0.563
1217,0.563
1218,0.563
1219,0.563
1220,0.563
1221,0.563
1222,0.563
1223,0.563
1224,0.563
1225,0.563
1226,0.563
1227,0.563
1228,0.563
1229,0.563
1230,0.563
1231,0.563
1232,0.563
1233,0.563
1234,0.563
1235,0.563
1236,0.563
1237,0.563
1238,0.563
1239,0.563
1240,0.563
1241,0.563
1242,0.563
1243,0.563
1244,0.563
1245,0.563
1246,0.563
1247,0.563
1248,0.563
1249,0.563
1250,0.563
1251,0.563
1252,0.563
1253,0.563
1254,0.563
1255,0.563
1256,0.563
1257,0.563
1258,0.563
1259,0.563
1260,0.563
1261,0.563
1262,0.563
1263,0.563
1264,0.563
1265,0.563
1266,0.563
1267,0.563
1268,0.563
1269,0.563
1270,0.563
1271,0.563
1272,0.563
1273,0.563
1274,0.563
1275,0.563
1276,0.563
1277,0.563
1278,0.563
1279,0.563
1280,0.563
1281,0.563
1282,0.563
1283,0.563
1284,0.563
1285,0.563
1286,0.563
1287,0.563
1288,0.563
1289,0.563
1290,0.563
1291,0.563
1292,0.563
1293,0.563
1294,0.563
1295,0.563
1296,0.563
1297,0.563
1298,0.563
1299,0.563
1300,0.563
1301,0.563
1302,0.563
1303,0.563
1304,0.563
1305,0.563
1306,0.563
1307,0.563
1308,0.563
1309,0.563
1310,0.563
1311,0.563
1312,0.563
1313,0.563
1314,0.563
1315,0.563
1316,0.563
1317,0.563
1318,0.563
1319,0.563
1320,0.563
1321,0.563
1322,0.563
1323,0.563
1324,0.563
1325,0.563
1326,0.563
1327,0.563
1328,0.563
1329,0.563
1330,0.563
1331,0.563
1332,0.563
1333,0.563
1334,0.563
1335,0.563
1336,0.563
1337,0.563
1338,0.563
1339,0.563
1340,0.563
1341,0.563
1342,0.563
1343,0.563
1344,0.563
1345,0.563
1346,0.563
1347,0.563
1348,0.563
1349,0.563
1350,0.563
1351,0.563
1352,0.563
1353,0.563
1354,0.563
1355,0.563
1356,0.563
1357,0.563
1358,0.563
1359,0.563
1360,0.563
1361,0.563
1362,0.563
1363,0.563
1364,0.563
1365,0.563
1366,0.563
1367,0.563
1368,0.563
1369,0.563
1370,0.563
1371,0.563
1372,0.563
1373,0.563
1374,0.563
1375,0.563
1376,0.563
1377,0.563
1378,0.563
1379,0.563
1380,0.563
1381,0.563
1382,0.563
1383,0.563
1384,0.563
1385,0.563
1386,0.563
1387,0.563
1388,0.563
1389,0.563
1390,0.563
1391,0.563
1392,0.563
1393,0.563
1394,0.563
1395,0.563
1396,0.563
1397,0.563
1398,0.563
1399,0.563
1400,0.563
1401,0.563
1402,0.563
1403,0.563
1404,0.563
1405,0.563
1406,0.563
1407,0.563
1408,0.563
1409,0.563
1410,0.563
1411,0.563
1412,0.563
1413,0.563
1414,0.563
1415,0.563
1416,0.563
1417,0.563
1418,0.563
1419,0.563
1420,0.563
1421,0.563
1422,0.563
1423,0.563
1424,0.563
1425,0.563
1426,0.563
1427,0.563
1428,0.563
1429,0.563
1430,0.563
1431,0.563
1432,0.563
1433,0.563
1434,0.563
1435,0.563
1436,0.563
1437,0.563
1438,0.563
1439,0.563
1440,0.563
1441,0.563
1442,0.563
1443,0.563
1444,0.563
1445,0.563
1446,0.563
1447,0.563
1448,0.563
1449,0.563
1450,0.563
1451,0.563
1452,0.563
1453,0.563
1454,0.563
1455,0.563
1456,0.563
1457,0.563
1458,0.563
1459,0.563
1460,0.563
1461,0.563
1462,0.563
1463,0.563
1464,0.563
1465,0.563
1466,0.563
1467,0.563
1468,0.563
1469,0.563
1470,0.563
1471,0.563
1472,0.563
1473,0.563
1474,0.563
1475,0.563
1476,0.563
1477,0.563
1478,0.563
1479,0.563
1480,0.563
1481,0.563
1482,0.563
1483,0.563
1484,0.563
1485,0.563
1486,0.563
1487,0.563
1488,0.563
1489,0.563
1490,0.563
1491,0.563
1492,0.563
1493,0.563
1494,0.563
1495,0.563
1496,0.563
1497,0.563
1498,0.563
1499,0.563
1500,0.563
1501,0.563
1502,0.563
1503,0.563
1504,0.563
1505,0.563
1506,0.563
1507,0.563
1508,0.563
1509,0.563
1510,0.563
1511,0.563
1512,0.563
1513,0.563
1514,0.563
1515,0.563
1516,0.563
1517,0.563
1518,0.563
1519,0.563
1520,0.563
1521,0.563
1522,0.563
1523,0.563
1524,0.563
1525,0.563
1526,0.563
1527,0.563
1528,0.563
1529,0.563
1530,0.563
1531,0.563
1532,0.563
1533,0.563
1534,0.563
1535,0.563
1536,0.563
1537,0.563
1538,0.563
1539,0.563
1540,0.563
1541,0.563
1542,0.563
1543,0.563
1544,0.563
1545,0.563
1546,0.563
1547,0.563
1548,0.563
1549,0.563
1550,0.563
1551,0.563
1552,0.563
1553,0.563
1554,0.563
1555,0.563
1556,0.563
1557,0.563
1558,0.563
1559,0.563
1560,0.563
1561,0.563
1562,0.563
1563,0.563
1564,0.563
1565,0.563
1566,0.563
1567,0.563
1568,0.563
1569,0.563
1570,0.563
1571,0.563
1572,0.563
1573,0.563
1574,0.563
1575,0.563
1576,0.563
1577,0.563
1578,0.563
1579,0.563
1580,0.563
1581,0.563
1582,0.563
1583,0.563
1584,0.563
1585,0.563
1586,0.563
1587,0.563
1588,0.563
1589,0.563
1590,0.563
1591,0.563
1592,0.563
1593,0.563
1594,0.563
1595,0.563
1596,0.563
1597,0.563
1598,0.563
1599,0.563
1600,0.563
